country,country/region,select_investors,company_link,img_src,company,valuation_currency,valuation,funding,company_cleaned
China,Asia,Kohlberg Kravis Roberts Japan,https://www.crunchbase.com/organization/bytedance,https://images.crunchbase.com/image/upload/t_cb-default-original/cglezonqxgqqeirc0nsj,ByteDance,B,220,8,BYTEDANCE
China,Asia,Sequoia Capital,https://www.crunchbase.com/organization/bytedance,https://images.crunchbase.com/image/upload/t_cb-default-original/cglezonqxgqqeirc0nsj,ByteDance,B,220,8,BYTEDANCE
China,Asia,GIC,https://www.crunchbase.com/organization/ant-group,https://images.crunchbase.com/image/upload/t_cb-default-original/sgzmygfsbqgmbxslqreb,Ant Group,B,150,19,ANT GROUP
China,Asia,Temasek Holdings,https://www.crunchbase.com/organization/ant-group,https://images.crunchbase.com/image/upload/t_cb-default-original/sgzmygfsbqgmbxslqreb,Ant Group,B,150,19,ANT GROUP
United States,North America,Mirae Asset Venture Investment,https://www.crunchbase.com/organization/space-exploration-technologies,https://images.crunchbase.com/image/upload/t_cb-default-original/u196odmivjn2dvw09xhx,SpaceX,B,125,9,SPACEX
India,Asia,Abu Dhabi Investment Authority,https://www.crunchbase.com/organization/reliance-retail,https://images.crunchbase.com/image/upload/t_cb-default-original/c4nfj4rdzj2i2ssx3dg4,Reliance Retail,B,100,8,RELIANCE RETAIL
United States,North America,Microsoft,https://www.crunchbase.com/organization/openai,https://images.crunchbase.com/image/upload/t_cb-default-original/jjykwqqhsscreywea4gb,OpenAI,B,80,11,OPENAI
China,Asia,General Atlantic,https://www.crunchbase.com/organization/shein-b79e,https://images.crunchbase.com/image/upload/t_cb-default-original/wcmfrgcojusflafdtn86,Shein,B,66,4,SHEIN
China,Asia,Mubadala,https://www.crunchbase.com/organization/shein-b79e,https://images.crunchbase.com/image/upload/t_cb-default-original/wcmfrgcojusflafdtn86,Shein,B,66,4,SHEIN
United States,North America,Andreessen Horowitz,https://www.crunchbase.com/organization/stripe,https://images.crunchbase.com/image/upload/t_cb-default-original/xpyon9burvvdliqnwea5,Stripe,B,65,9,STRIPE
United States,North America,Baillie Gifford,https://www.crunchbase.com/organization/stripe,https://images.crunchbase.com/image/upload/t_cb-default-original/xpyon9burvvdliqnwea5,Stripe,B,65,9,STRIPE
India,Asia,Google,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Reliance Jio,B,58,20,RELIANCE JIO
United Kingdom,Europe,Woodford Investment Management,https://www.crunchbase.com/organization/revolut,https://images.crunchbase.com/image/upload/t_cb-default-original/t6nais5lghcxmc9nkpnk,Revolut,B,45,2,REVOLUT
United States,North America,NVIDIA,https://www.crunchbase.com/organization/databricks,https://images.crunchbase.com/image/upload/t_cb-default-original/bypt5jj3j7aoqyzzf8fo,Databricks,B,43,4,DATABRICKS
United States,North America,T. Rowe Price,https://www.crunchbase.com/organization/databricks,https://images.crunchbase.com/image/upload/t_cb-default-original/bypt5jj3j7aoqyzzf8fo,Databricks,B,43,4,DATABRICKS
United Kingdom,Europe,Tiger Global Management,https://www.crunchbase.com/organization/checkout-com,https://images.crunchbase.com/image/upload/t_cb-default-original/wam8pfmhebyvp8tnnwvj,Checkout.com,B,40,2,CHECKOUT.COM
United States,North America,Altria,https://www.crunchbase.com/organization/juul,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",JUUL,B,38,15,JUUL
United States,North America,Clearlake Capital Group,https://www.crunchbase.com/organization/fanatics,https://images.crunchbase.com/image/upload/t_cb-default-original/lfeg8f7qzhwnhq4aztos,Fanatics,B,31,5,FANATICS
United States,North America,General Motors,https://www.crunchbase.com/organization/cruise,https://images.crunchbase.com/image/upload/t_cb-default-original/dftlxgiwn115x4jrpq1v,Cruise,B,30,9,CRUISE
United States,North America,Alphabet,https://www.crunchbase.com/organization/waymo,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Waymo,B,30,11,WAYMO
China,Asia,Alibaba Group,https://www.crunchbase.com/organization/alibaba-bendi-shenghuo-fuwu-gonsi,https://images.crunchbase.com/image/upload/t_cb-default-original/ncnj1zoq49lj2guk7ipe,Alibaba Bendi Shenghuo Fuwu Gongsi,B,30,4,ALIBABA BENDI SHENGHUO FUWU GONGSI
China,Asia,SoftBank Vision Fund,https://www.crunchbase.com/organization/alibaba-bendi-shenghuo-fuwu-gonsi,https://images.crunchbase.com/image/upload/t_cb-default-original/ncnj1zoq49lj2guk7ipe,Alibaba Bendi Shenghuo Fuwu Gongsi,B,30,4,ALIBABA BENDI SHENGHUO FUWU GONGSI
Australia,Oceania,Stack Capital,https://www.crunchbase.com/organization/canva,https://images.crunchbase.com/image/upload/t_cb-default-original/a3t4x0zxeqbvj8qlmqce,Canva,B,26,580,CANVA
United States,North America,Sequoia Capital Global Equities,https://www.crunchbase.com/organization/chime-2,https://images.crunchbase.com/image/upload/t_cb-default-original/kkeyxonxyf2uebvarwqv,Chime,B,25,2,CHIME
United States,North America,X (formerly Twitter),https://www.crunchbase.com/organization/xai,https://images.crunchbase.com/image/upload/t_cb-default-original/fx3dkdpnolvubjldo54x,xAI,B,24,6,XAI
United States,North America,The Walt Disney Company,https://www.crunchbase.com/organization/epic-games-2,https://images.crunchbase.com/image/upload/t_cb-default-original/htztaeqi217v93qpfq7k,Epic Games,B,23,8,EPIC GAMES
India,Asia,Qatar Investment Authority,https://www.crunchbase.com/organization/byju-s,https://images.crunchbase.com/image/upload/t_cb-default-original/oz8zg6wijskstywzpmfu,BYJU'S,B,22,5,BYJU'S
Indonesia,Asia,EWTP Arabia Capital,https://www.crunchbase.com/organization/j-t-express,https://images.crunchbase.com/image/upload/t_cb-default-original/9bc9636a21f78a3f6ebc,J&T Express,B,20,5,J&T EXPRESS
United Kingdom,Europe,CPP Investments,https://www.crunchbase.com/organization/fnz,https://images.crunchbase.com/image/upload/t_cb-default-original/a0i7hpvw086brctsmxn4,FNZ,B,20,1,FNZ
United Kingdom,Europe,Motive Partners,https://www.crunchbase.com/organization/fnz,https://images.crunchbase.com/image/upload/t_cb-default-original/a0i7hpvw086brctsmxn4,FNZ,B,20,1,FNZ
United States,North America,Coatue,https://www.crunchbase.com/organization/coreweave,https://images.crunchbase.com/image/upload/t_cb-default-original/xq3fe9rof9a6ar8yfwhk,CoreWeave,B,19,2,COREWEAVE
China,Asia,APOFCO,https://www.crunchbase.com/organization/jd-finance,https://images.crunchbase.com/image/upload/t_cb-default-original/vgb6gkmg6mfh8iwpuejw,JD Digits,B,18,5,JD DIGITS
China,Asia,CICC,https://www.crunchbase.com/organization/jd-finance,https://images.crunchbase.com/image/upload/t_cb-default-original/vgb6gkmg6mfh8iwpuejw,JD Digits,B,18,5,JD DIGITS
United States,North America,ICONIQ Growth,https://www.crunchbase.com/organization/realtimeboard,https://images.crunchbase.com/image/upload/t_cb-default-original/hnkpvrihomgkmr5yi09o,Miro,B,18,476,MIRO
China,Asia,Temasek Holdings,https://www.crunchbase.com/organization/xiaohongshu,https://images.crunchbase.com/image/upload/t_cb-default-original/pdgilmhekqtp9aqoaggj,Xiaohongshu,B,17,918,XIAOHONGSHU
China,Asia,Tencent,https://www.crunchbase.com/organization/xiaohongshu,https://images.crunchbase.com/image/upload/t_cb-default-original/pdgilmhekqtp9aqoaggj,Xiaohongshu,B,17,918,XIAOHONGSHU
China,Asia,YF Capital,https://www.crunchbase.com/organization/yuanfudao,https://images.crunchbase.com/image/upload/t_cb-default-original/xoxhum1birnuyzqlrovp,Yuanfudao,B,17,4,YUANFUDAO
Turkey,Europe,General Atlantic,https://www.crunchbase.com/organization/trendyol,https://images.crunchbase.com/image/upload/t_cb-default-original/a28mpldcwtvmftpw9elt,Trendyol Group,B,17,2,TRENDYOL GROUP
Turkey,Europe,SoftBank Vision Fund,https://www.crunchbase.com/organization/trendyol,https://images.crunchbase.com/image/upload/t_cb-default-original/a28mpldcwtvmftpw9elt,Trendyol Group,B,17,2,TRENDYOL GROUP
China,Asia,Seres Group,https://www.crunchbase.com/organization/yinwang-smart-technology,,Yinwang Smart Technology,B,16,3,YINWANG SMART TECHNOLOGY
United States,North America,Dragoneer Investment Group,https://www.crunchbase.com/organization/discord,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Discord,B,15,979,DISCORD
United States,North America,Robert Iger,https://www.crunchbase.com/organization/gopuff,https://images.crunchbase.com/image/upload/t_cb-default-original/wgqp1ok8oozwfm6a2wsr,Gopuff,B,15,3,GOPUFF
United Kingdom,Europe,Tal Ventures,https://www.crunchbase.com/organization/rapyd,https://images.crunchbase.com/image/upload/t_cb-default-original/fjwtscv7xlikpvd08qxd,Rapyd,B,15,770,RAPYD
United Kingdom,Europe,Target Global,https://www.crunchbase.com/organization/rapyd,https://images.crunchbase.com/image/upload/t_cb-default-original/fjwtscv7xlikpvd08qxd,Rapyd,B,15,770,RAPYD
China,Asia,Temasek Holdings,https://www.crunchbase.com/organization/genki-forest,https://images.crunchbase.com/image/upload/t_cb-default-original/jnboaqwjzruwv0uukrk3,Genki Forest,B,15,721,GENKI FOREST
United States,North America,Saudi Arabia's Public Investment Fund,https://www.crunchbase.com/organization/cloudkitchens,https://images.crunchbase.com/image/upload/t_cb-default-original/oh6fiprujsfayy1yukwx,CloudKitchens,B,15,1,CLOUDKITCHENS
China,Asia,Crimson Ventures,https://www.crunchbase.com/organization/bitmain,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Bitmain,B,15,765,BITMAIN
China,Asia,,https://www.crunchbase.com/organization/gac-aion-new-energy-automobile,https://images.crunchbase.com/image/upload/t_cb-default-original/fmqrli9zi4u2toahkbqx,GAC Aion New Energy Automobile,B,14,3,GAC AION NEW ENERGY AUTOMOBILE
United States,North America,Founders Fund,https://www.crunchbase.com/organization/anduril-industries,https://images.crunchbase.com/image/upload/t_cb-default-original/bd95ccwbfdjwwroavzug,Anduril Industries,B,14,4,ANDURIL INDUSTRIES
United States,North America,Sands Capital Ventures,https://www.crunchbase.com/organization/anduril-industries,https://images.crunchbase.com/image/upload/t_cb-default-original/bd95ccwbfdjwwroavzug,Anduril Industries,B,14,4,ANDURIL INDUSTRIES
United States,North America,Accel,https://www.crunchbase.com/organization/scale-2,https://images.crunchbase.com/image/upload/t_cb-default-original/wvgipbxfzsc4ehfzrrit,Scale AI,B,14,2,SCALE AI
United States,North America,Coatue,https://www.crunchbase.com/organization/rippling,https://images.crunchbase.com/image/upload/t_cb-default-original/zofsulj3hqgfkung3nkw,Rippling,B,14,1,RIPPLING
United States,North America,Altimeter Capital,https://www.crunchbase.com/organization/plaid,https://images.crunchbase.com/image/upload/t_cb-default-original/yz935r8kiwgqhdrdbr8a,Plaid,B,13,734,PLAID
United States,North America,Coatue,https://www.crunchbase.com/organization/opensea,https://images.crunchbase.com/image/upload/t_cb-default-original/gx1f59owjm7o6hotrjnm,OpenSea,B,13,427,OPENSEA
United States,North America,Paradigm,https://www.crunchbase.com/organization/opensea,https://images.crunchbase.com/image/upload/t_cb-default-original/gx1f59owjm7o6hotrjnm,OpenSea,B,13,427,OPENSEA
United States,North America,Baillie Gifford,https://www.crunchbase.com/organization/grammarly,https://images.crunchbase.com/image/upload/t_cb-default-original/b361d97c4983476a9cf221b515760ea6,Grammarly,B,13,400,GRAMMARLY
United States,North America,BlackRock,https://www.crunchbase.com/organization/grammarly,https://images.crunchbase.com/image/upload/t_cb-default-original/b361d97c4983476a9cf221b515760ea6,Grammarly,B,13,400,GRAMMARLY
United States,North America,Fearless Ventures,https://www.crunchbase.com/organization/devoted-health,https://images.crunchbase.com/image/upload/t_cb-default-original/a57rhehjbmu0eicsptbc,Devoted Health,B,13,2,DEVOTED HEALTH
United States,North America,GIC,https://www.crunchbase.com/organization/devoted-health,https://images.crunchbase.com/image/upload/t_cb-default-original/a57rhehjbmu0eicsptbc,Devoted Health,B,13,2,DEVOTED HEALTH
Germany,Europe,Qatar Investment Authority,https://www.crunchbase.com/organization/celonis,https://images.crunchbase.com/image/upload/t_cb-default-original/sthpiu33hfparpogdvi9,Celonis,B,13,2,CELONIS
United States,North America,Shopify,https://www.crunchbase.com/organization/indigo-fair,https://images.crunchbase.com/image/upload/t_cb-default-original/gq4edepqc90tg9tdvly8,Faire,B,13,2,FAIRE
United States,North America,Durable Capital Partners,https://www.crunchbase.com/organization/figma,https://images.crunchbase.com/image/upload/t_cb-default-original/bai3sh9mgzuihjoh8olj,Figma,B,13,749,FIGMA
United States,North America,Greenoaks,https://www.crunchbase.com/organization/brex,https://images.crunchbase.com/image/upload/t_cb-default-original/aedflsehonswztdphtdh,Brex,B,12,1,BREX
United States,North America,TCV,https://www.crunchbase.com/organization/brex,https://images.crunchbase.com/image/upload/t_cb-default-original/aedflsehonswztdphtdh,Brex,B,12,1,BREX
India,Asia,General Atlantic,https://www.crunchbase.com/organization/phonepe,https://images.crunchbase.com/image/upload/t_cb-default-original/ldkghwns1fmi3nhbzp11,PhonePe,B,12,3,PHONEPE
United States,North America,,https://www.crunchbase.com/organization/loanpal,https://images.crunchbase.com/image/upload/t_cb-default-original/wy1da9axpgezgc9ybjus,GoodLeap,B,12,0,GOODLEAP
United States,North America,aMoon Fund,https://www.crunchbase.com/organization/samumed,https://images.crunchbase.com/image/upload/t_cb-default-original/fzmgbyrqqfbwjpyed3qt,Biosplice Therapeutics,B,12,778,BIOSPLICE THERAPEUTICS
United States,North America,Eventide,https://www.crunchbase.com/organization/samumed,https://images.crunchbase.com/image/upload/t_cb-default-original/fzmgbyrqqfbwjpyed3qt,Biosplice Therapeutics,B,12,778,BIOSPLICE THERAPEUTICS
China,Asia,Ontario Teachers' Pension Plan,https://www.crunchbase.com/organization/furong-xingsheng,https://images.crunchbase.com/image/upload/t_cb-default-original/hqwjbxdpzfgnaydig4ms,Xingsheng Youxuan,B,12,5,XINGSHENG YOUXUAN
Israel,Asia,Andreessen Horowitz,https://www.crunchbase.com/organization/wiz-inc,https://images.crunchbase.com/image/upload/t_cb-default-original/xedeqkigob0f6cteez6j,Wiz,B,12,2,WIZ
Israel,Asia,Lightspeed Venture Partners,https://www.crunchbase.com/organization/wiz-inc,https://images.crunchbase.com/image/upload/t_cb-default-original/xedeqkigob0f6cteez6j,Wiz,B,12,2,WIZ
United States,North America,Coatue,https://www.crunchbase.com/organization/deel,https://images.crunchbase.com/image/upload/t_cb-default-original/m7grvpznjzt9sd8crngp,Deel,B,12,679,DEEL
Sweden,Europe,Caisse de Depot et Placement du Quebec,https://www.crunchbase.com/organization/northvolt-ab,https://images.crunchbase.com/image/upload/t_cb-default-original/totiayjvqicaktufw8jw,Northvolt,B,12,4,NORTHVOLT
United States,North America,XN,https://www.crunchbase.com/organization/airtable,https://images.crunchbase.com/image/upload/t_cb-default-original/u5f88ff3j8yjy955hby3,Airtable,B,12,1,AIRTABLE
South Korea,Asia,IMM Investment,https://www.crunchbase.com/organization/dunamu,https://images.crunchbase.com/image/upload/t_cb-default-original/bjhfahjxob5ox3ooilqu,Dunamu,B,12,741,DUNAMU
United Kingdom,Europe,Hg,https://www.crunchbase.com/organization/the-access-group-2,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The Access Group,B,12,1,THE ACCESS GROUP
United Kingdom,Europe,TA Associates,https://www.crunchbase.com/organization/the-access-group-2,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The Access Group,B,12,1,THE ACCESS GROUP
India,Asia,Amitabh Bachchan’s family office,https://www.crunchbase.com/organization/swiggy,https://images.crunchbase.com/image/upload/t_cb-default-original/vhuvo81m3rl29ohwa0om,Swiggy,B,11,4,SWIGGY
United States,North America,Coatue,https://www.crunchbase.com/organization/notion-so,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Notion,B,10,343,NOTION
United States,North America,Sequoia Capital,https://www.crunchbase.com/organization/notion-so,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Notion,B,10,343,NOTION
United States,North America,Lightspeed Venture Partners,https://www.crunchbase.com/organization/alchemy-insights,https://images.crunchbase.com/image/upload/t_cb-default-original/knid3ofzvtnf9f6ifg7t,Alchemy,B,10,564,ALCHEMY
United States,North America,Silver Lake,https://www.crunchbase.com/organization/alchemy-insights,https://images.crunchbase.com/image/upload/t_cb-default-original/knid3ofzvtnf9f6ifg7t,Alchemy,B,10,564,ALCHEMY
Seychelles,Africa,Susquehanna International Group (SIG),https://www.crunchbase.com/organization/kucoin,https://images.crunchbase.com/image/upload/t_cb-default-original/yqyt4s5k1rsvgdtk0gly,KuCoin,B,10,180,KUCOIN
United States,North America,OMERS Ventures,https://www.crunchbase.com/organization/digital-currency-group,https://images.crunchbase.com/image/upload/t_cb-default-original/fe7rrlubnj844r95zca4,Digital Currency Group,B,10,0,DIGITAL CURRENCY GROUP
United States,North America,Tetragon Financial Group Limited,https://www.crunchbase.com/organization/ripple-labs,https://images.crunchbase.com/image/upload/t_cb-default-original/rloc5finodm9rvvh8ts4,Ripple,B,10,294,RIPPLE
China,Asia,FountainVest Partners,https://www.crunchbase.com/organization/zuoyebang,https://images.crunchbase.com/image/upload/t_cb-default-original/pqlkjjt8zjzfcayqcjr7,Zuoyebang,B,10,3,ZUOYEBANG
China,Asia,Tiger Global Management,https://www.crunchbase.com/organization/zuoyebang,https://images.crunchbase.com/image/upload/t_cb-default-original/pqlkjjt8zjzfcayqcjr7,Zuoyebang,B,10,3,ZUOYEBANG
China,Asia,H Capital Advance,https://www.crunchbase.com/organization/guazi-com,https://images.crunchbase.com/image/upload/t_cb-default-original/mqephymrf2efmvht7ckk,Chehaoduo,B,10,4,CHEHAODUO
China,Asia,Sequoia Capital China,https://www.crunchbase.com/organization/guazi-com,https://images.crunchbase.com/image/upload/t_cb-default-original/mqephymrf2efmvht7ckk,Chehaoduo,B,10,4,CHEHAODUO
United States,North America,Viking Global Investors,https://www.crunchbase.com/organization/talkdesk,https://images.crunchbase.com/image/upload/t_cb-default-original/hjtlemfqjidc7i4cck7v,Talkdesk,B,10,497,TALKDESK
United States,North America,Advent International,https://www.crunchbase.com/organization/thrasio,https://images.crunchbase.com/image/upload/t_cb-default-original/rtne2fjpndg2fnnwjmm7,Thrasio,B,10,2,THRASIO
United States,North America,Silver Lake,https://www.crunchbase.com/organization/thrasio,https://images.crunchbase.com/image/upload/t_cb-default-original/rtne2fjpndg2fnnwjmm7,Thrasio,B,10,2,THRASIO
Hong Kong,Asia,Hillhouse Investment,https://www.crunchbase.com/organization/easyvan,https://images.crunchbase.com/image/upload/t_cb-default-original/d1gzxj8klgizvh6gw2mj,Lalamove,B,10,2,LALAMOVE
Hong Kong,Asia,Sequoia Capital China,https://www.crunchbase.com/organization/easyvan,https://images.crunchbase.com/image/upload/t_cb-default-original/d1gzxj8klgizvh6gw2mj,Lalamove,B,10,2,LALAMOVE
India,Asia,Temasek Holdings,https://www.crunchbase.com/organization/mahindra-electric-automobile,https://images.crunchbase.com/image/upload/t_cb-default-original/yemvsxr4jbeq8vuwgh0s,Mahindra Electric Automobile,B,10,388,MAHINDRA ELECTRIC AUTOMOBILE
United States,North America,Friends & Family Capital,https://www.crunchbase.com/organization/gusto,https://images.crunchbase.com/image/upload/t_cb-default-original/dnygrrwj63dllcnpjvrp,Gusto,B,10,746,GUSTO
United States,North America,Thoma Bravo,https://www.crunchbase.com/organization/servicetitan,https://images.crunchbase.com/image/upload/t_cb-default-original/wuyj7sf0htdjencjc4rc,ServiceTitan,B,10,1,SERVICETITAN
United States,North America,Greenoaks,https://www.crunchbase.com/organization/tripactions,https://images.crunchbase.com/image/upload/t_cb-default-original/xwkki258tar4xovtdomu,Navan,B,9,1,NAVAN
India,Asia,TPG Rise Climate Fund,https://www.crunchbase.com/organization/tata-passenger-electronic-mobility,https://images.crunchbase.com/image/upload/t_cb-default-original/bwfjdhioj0hschje5vzx,Tata Passenger Electric Mobility,B,9,988,TATA PASSENGER ELECTRIC MOBILITY
Germany,Europe,Coatue,https://www.crunchbase.com/organization/n26,https://images.crunchbase.com/image/upload/t_cb-default-original/os4gsjylp8qjw44zvai0,N26,B,9,2,N26
Germany,Europe,Third Point Ventures,https://www.crunchbase.com/organization/n26,https://images.crunchbase.com/image/upload/t_cb-default-original/os4gsjylp8qjw44zvai0,N26,B,9,2,N26
United States,North America,Salesforce Ventures,https://www.crunchbase.com/organization/tanium,https://images.crunchbase.com/image/upload/t_cb-default-original/mtdqf4ydskq1hnbqqkk9,Tanium,B,9,775,TANIUM
South Korea,Asia,SoftBank Vision Fund,https://www.crunchbase.com/organization/yanolja,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yanolja,B,9,2,YANOLJA
United States,North America,Fidelity,https://www.crunchbase.com/organization/vast-data,https://images.crunchbase.com/image/upload/t_cb-default-original/immlilkn93rppcg82qc3,VAST Data,B,9,381,VAST DATA
United States,North America,Coatue,https://www.crunchbase.com/organization/nianticlabs,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Niantic,B,9,770,NIANTIC
China,Asia,Coatue,https://www.crunchbase.com/organization/heytea,https://images.crunchbase.com/image/upload/t_cb-default-original/vzzvzccyktwl140bg1tn,HeyTea,B,9,594,HEYTEA
China,Asia,Hillhouse Investment,https://www.crunchbase.com/organization/heytea,https://images.crunchbase.com/image/upload/t_cb-default-original/vzzvzccyktwl140bg1tn,HeyTea,B,9,594,HEYTEA
United Kingdom,Europe,CPP Investments,https://www.crunchbase.com/organization/octopus-energy,https://images.crunchbase.com/image/upload/t_cb-default-original/tdnrdlivypqzwvp3jzhd,Octopus Energy,B,9,3,OCTOPUS ENERGY
India,Asia,,https://www.crunchbase.com/organization/4-wheel-passenger-electric-vehicle-co,,EV Co,B,9,486,EV CO
China,Asia,SBI Group,https://www.crunchbase.com/organization/ping-an-healthcare-management,https://images.crunchbase.com/image/upload/t_cb-default-original/fzfenukrf40gxmwhsuwl,Ping An Healthcare Management,B,9,1,PING AN HEALTHCARE MANAGEMENT
China,Asia,SoftBank Vision Fund,https://www.crunchbase.com/organization/ping-an-healthcare-management,https://images.crunchbase.com/image/upload/t_cb-default-original/fzfenukrf40gxmwhsuwl,Ping An Healthcare Management,B,9,1,PING AN HEALTHCARE MANAGEMENT
Mexico,North America,General Catalyst,https://www.crunchbase.com/organization/kavak,https://images.crunchbase.com/image/upload/t_cb-default-original/iftzpinxsnyvo5bxvgxr,Kavak,B,9,2,KAVAK
United States,North America,Tiger Global Management,https://www.crunchbase.com/organization/nuro-2,https://images.crunchbase.com/image/upload/t_cb-default-original/zjh5l8un9espuon5xfao,Nuro,B,9,2,NURO
United States,North America,NEOM Investment Fund,https://www.crunchbase.com/organization/pony-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/gcua2k8ywdujhmrwpwxt,Pony.ai,B,9,1,PONY.AI
Germany,Europe,Greenoaks,https://www.crunchbase.com/organization/personio,https://images.crunchbase.com/image/upload/t_cb-default-original/dnsftyv2qkh56v8axjcc,Personio,B,8,724,PERSONIO
Estonia,Europe,Fidelity,https://www.crunchbase.com/organization/mtakso,https://images.crunchbase.com/image/upload/t_cb-default-original/astrbsil5qsea9vdbxxy,Bolt,B,8,2,BOLT
Estonia,Europe,Sequoia Capital,https://www.crunchbase.com/organization/mtakso,https://images.crunchbase.com/image/upload/t_cb-default-original/astrbsil5qsea9vdbxxy,Bolt,B,8,2,BOLT
United States,North America,G Squared,https://www.crunchbase.com/organization/tipalti,https://images.crunchbase.com/image/upload/t_cb-default-original/e0svyeflnv3bgwmtjvzf,Tipalti,B,8,549,TIPALTI
Vietnam,Asia,Alibaba Group,https://www.crunchbase.com/organization/the-crown-x,https://images.crunchbase.com/image/upload/t_cb-default-original/psujojmig1dpbfndlo9x,The CrownX,B,8,750,THE CROWNX
Vietnam,Asia,BPEA EQT,https://www.crunchbase.com/organization/the-crown-x,https://images.crunchbase.com/image/upload/t_cb-default-original/psujojmig1dpbfndlo9x,The CrownX,B,8,750,THE CROWNX
China,Asia,Accel,https://www.crunchbase.com/organization/dji,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",DJI,B,8,105,DJI
United States,North America,Shopify,https://www.crunchbase.com/organization/flexport,https://images.crunchbase.com/image/upload/t_cb-default-original/ee1aes8zckgjvrpkapof,Flexport,B,8,2,FLEXPORT
United States,North America,D1 Capital Partners,https://www.crunchbase.com/organization/fireblocks,https://images.crunchbase.com/image/upload/t_cb-default-original/f6h9v4prv1idlgh4rrdl,Fireblocks,B,8,1,FIREBLOCKS
United States,North America,Spark Capital,https://www.crunchbase.com/organization/fireblocks,https://images.crunchbase.com/image/upload/t_cb-default-original/f6h9v4prv1idlgh4rrdl,Fireblocks,B,8,1,FIREBLOCKS
United Kingdom,Europe,SoftBank,https://www.crunchbase.com/organization/thg-ingenuity,https://images.crunchbase.com/image/upload/t_cb-default-original/nlqxfdswbws5a5xvk1sg,THG Ingenuity,B,8,2,THG INGENUITY
United States,North America,B Capital,https://www.crunchbase.com/organization/falconx,https://images.crunchbase.com/image/upload/t_cb-default-original/h5vmlj1yec1cx8wrosvh,FalconX,B,8,474,FALCONX
United States,North America,GIC,https://www.crunchbase.com/organization/falconx,https://images.crunchbase.com/image/upload/t_cb-default-original/h5vmlj1yec1cx8wrosvh,FalconX,B,8,474,FALCONX
Israel,Asia,Alameda Research,https://www.crunchbase.com/organization/starkware-industries-ltd,https://images.crunchbase.com/image/upload/t_cb-default-original/wghqgdriobpgz4nq0q4x,StarkWare Industries,B,8,261,STARKWARE INDUSTRIES
Israel,Asia,Coatue,https://www.crunchbase.com/organization/starkware-industries-ltd,https://images.crunchbase.com/image/upload/t_cb-default-original/wghqgdriobpgz4nq0q4x,StarkWare Industries,B,8,261,STARKWARE INDUSTRIES
India,Asia,Alpha Wave Global,https://www.crunchbase.com/organization/dream11,https://images.crunchbase.com/image/upload/t_cb-default-original/i7zvsu1xba0csvviwohq,Dream11,B,8,1,DREAM11
India,Asia,D1 Capital Partners,https://www.crunchbase.com/organization/dream11,https://images.crunchbase.com/image/upload/t_cb-default-original/i7zvsu1xba0csvviwohq,Dream11,B,8,1,DREAM11
United States,North America,Sixth Street,https://www.crunchbase.com/organization/caris-life-sciences,https://images.crunchbase.com/image/upload/t_cb-default-original/ucyl2rkbpusxg6ow4ujq,Caris Life Sciences,B,8,1,CARIS LIFE SCIENCES
United Kingdom,Europe,Altimeter Capital,https://www.crunchbase.com/organization/hopin-8ff6,https://images.crunchbase.com/image/upload/t_cb-default-original/gctyrpywcu87j850uutf,Hopin,B,8,1,HOPIN
United Kingdom,Europe,Arena Holdings,https://www.crunchbase.com/organization/hopin-8ff6,https://images.crunchbase.com/image/upload/t_cb-default-original/gctyrpywcu87j850uutf,Hopin,B,8,1,HOPIN
China,Asia,,https://www.crunchbase.com/organization/calb,https://images.crunchbase.com/image/upload/t_cb-default-original/fh1vr4bl3mlsuanoiqyq,CALB,B,8,2,CALB
Norway,Europe,,https://www.crunchbase.com/organization/autostore,https://images.crunchbase.com/image/upload/t_cb-default-original/uqtqutyps1xwzmn7s1ki,AutoStore,B,8,0,AUTOSTORE
